區編號,團體名稱,"理事長
姓    名",會址,電    話
A01,嘉義縣布袋鎮新民社區發展協會,施俊介,布袋鎮新民里新塭330-10號,05-3431010
A02,嘉義縣布袋鎮復興社區發展協會,蘇清鴻,布袋鎮復興里17鄰78號,05-3432222
A03,嘉義縣布袋鎮海光社區發展協會,蔡應洋,布袋鎮岱江里環河街1號2樓,05-3476078
A04,嘉義縣布袋鎮新岑社區發展協會,陳泰郎,布袋鎮新岑里郭岑寮7-26號,05-3432970
A05,嘉義縣布袋鎮好美社區發展協會,蔡文郎,布袋鎮好美里虎尾寮114號之2,05-3625797
A06,嘉義縣布袋鎮九江社區發展協會,蔡天元,布袋鎮岱江里環河街1號,05-3470916
A07,嘉義縣布袋鎮江山社區發展協會,翁振家,布袋鎮江山里4鄰崩山38-1號(江山社區活動中心),05-3478595
A08,嘉義縣布袋鎮菜舖社區發展協會,蔡明仁,布袋鎮菜鋪里菜舖24-1號,05-3420720
A09,嘉義縣布袋鎮見龍社區發展協會,黃清基,布袋鎮見龍里內田2-4號,05-3474282
A10,嘉義縣布袋鎮振寮社區發展協會,黃振德,布袋鎮振寮里7鄰後壁寮路102之1號,
A11,嘉義縣布袋鎮龍江社區發展協會,蕭吳王珠,"布袋鎮龍江里新厝仔300號-1
(龍江社區活動中心)",05-3475138
A12,嘉義縣布袋鎮考試社區發展協會,周樹煌,布袋鎮考試里鹿寮仔23-1號,
A13,嘉義縣布袋鎮樹林社區發展協會,周聖宗,布袋鎮樹林里8鄰港後23號,05-3692473
A14,嘉義縣布袋鎮布袋社區發展協會,陳清標,布袋鎮興中里太平路40號,05-3472060
A15,嘉義縣布袋鎮新厝社區發展協會,蕭振福,布袋鎮龍江里300-1號,05-3472862
A16,嘉義縣布袋鎮永安社區發展協會,柯明珠,布袋鎮永安里大寮242號,05-3475318
A17,嘉義縣布袋鎮中安社區發展協會,李雪玉,布袋鎮中安里過溝頂厝71號, 05-3450011
A18,嘉義縣布袋鎮貴舍社區發展協會,施煌烈,布袋鎮貴舍里72號,05-3452525
A19,嘉義縣布袋鎮西安社區發展協會,王仁靖,布袋鎮西安里過溝夏厝30-12號,05-3451378
A20,嘉義縣布袋鎮東港社區發展協會,林榮泰,布袋鎮東港里埔仔厝101號之1(東港社區活動中心),05-3472918
A21,嘉義縣布袋鎮東安社區發展協會,陳良勝,布袋鎮西安里廈厝30-21號,05-3471520 05-3478132
B01,嘉義縣大林鎮上林社區發展協會,陳煦湘,大林鎮上林里10鄰頂員林44號,05-2652203
B02,嘉義縣大林鎮溝背社區發展協會,江和謙,大林鎮溝背里13鄰280號,05-2950109
B03,嘉義縣大林鎮義和社區發展協會,簡國坤,大林鎮義和里5鄰35號,05-2954224
B04,嘉義縣大林鎮內林社區發展協會,詹淑麗,大林鎮內林里1鄰內林61號,05-2953702
B05,嘉義縣大林鎮中林社區發展協會,蘇木興,大林鎮中林里100-3號,05-2653752
B06,嘉義縣大林鎮湖北社區發展協會,江永柳,大林鎮湖北里大湖24-1號,05-2655561
B07,嘉義縣大林鎮三村社區發展協會,蘇華佑,"大林鎮三村里5鄰湖子1號
(三村社區活動中心)",05-2952758
B08,嘉義縣大林鎮過溪社區發展協會,簡坤山,大林鎮過溪里2鄰過溪48號,05-2950152
B09,嘉義縣大林鎮大美社區發展協會,簡嘉宏,大林鎮大美里1鄰33號,05-2953301
B10,嘉義縣大林鎮三角社區發展協會,簡其深,大林鎮三角里2鄰北勢29號,
B11,嘉義縣大林鎮西結社區發展協會,陳啟林,大林鎮西結里3鄰陳井寮45號,05-2694759
B12,嘉義縣大林鎮排路社區發展協會,郭炳坤,大林鎮排路里6鄰167號,05-2697509
B13,嘉義縣大林鎮中坑社區發展協會,張明進,大林鎮中坑里7鄰中坑10號,05-2951999 
B14,嘉義縣大林鎮沙崙社區發展協會,劉徐玉娟,大林鎮中坑里4鄰沙崙176號,05-2953533
B15,嘉義縣大林鎮三和社區發展協會,江崑海,大林鎮三和里10鄰水碓44號,05-2951050
B16,嘉義縣大林鎮明華社區發展協會,江志堅,大林鎮明華里4鄰下埤頭25號,05-2642022
B17,嘉義縣大林鎮平林社區發展協會,徐清?,大林鎮平林里新興街112號,05-2649701 05-2652833
B18,嘉義縣大林鎮明和社區發展協會,曾安銅,大林鎮明和里甘蔗崙72號,05-2656691
B19,嘉義縣大林鎮西林社區發展協會,鄒志雄,大林鎮西林里祥和路199巷12號,05-2652631
B20,嘉義縣大林鎮東林社區發展協會,陳源祺,大林鎮東林里中山路218號,05-2650778
B21,嘉義縣大林鎮吉林社區發展協會,蔡耀程,大林鎮吉林里中山路17巷33-6號,05-2654632
B22,嘉義縣大林鎮大糖社區發展協會,顏照軒,大林鎮大糖里中學路110號,05-2650168
C01,嘉義縣民雄鄉山中社區發展協會,楊豊霖,民雄鄉山中村95之7號,05-2201017
C02,嘉義縣民雄鄉北斗社區發展協會,洪光璞,民雄鄉北斗村21鄰1-101號,05-2201824 05-2218860
C03,嘉義縣民雄鄉秀林社區發展協會,林秀珠,民雄鄉秀林村15鄰林子尾38之1號,05-2217861
C04,嘉義縣民雄鄉寮頂社區發展協會,何銘壹,民雄鄉寮頂村11鄰81-5號,05-2063933 05-2063932
C05,嘉義縣民雄鄉頂崙社區發展協會,李朝正,民雄鄉頂崙村崙子頂25-1號,05-2262895
C06,嘉義縣民雄鄉鎮北社區發展協會,蔡永泰,民雄鄉鎮北村7鄰24-2號,05-2261592
C07,嘉義縣民雄鄉中和社區發展協會,何石生 ,民雄鄉中和村38-1號,05-2262460
C08,嘉義縣民雄鄉東興社區發展協會,盧世健,民雄鄉東興村2鄰27-1號,05-2720122 
C09,嘉義縣民雄鄉平和社區發展協會,郭金課  ,民雄鄉平和村4鄰15號之2,05-2262883
C10,嘉義縣民雄鄉菁埔社區發展協會,蔡榮錦,民雄鄉菁埔村56-2號,05-2262490
C11,嘉義縣民雄鄉大崎社區發展協會,黃添益,民雄鄉大崎村4鄰大崎腳17－5號,05-2217936
C12,嘉義縣民雄鄉西昌社區發展協會,葉卿燿,民雄鄉西昌村1-2號,05-2060879
C13,嘉義縣民雄鄉福權社區發展協會,賴素貞,民雄鄉福權村6鄰58號,05-2061258
C14,嘉義縣民雄鄉中央社區發展協會,劉文明,民雄鄉中央村田中央77號,05-2267052
